Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-2.4917 ms"," ---","[hex]00"
2,"Rx","Ok","-2.47 ms"," ---","[hex]0C"
3,"Rx","Ok","-2.4411 ms"," ---","[hex]00"
4,"Rx","Ok","-2.4194 ms"," ---","[hex]09"
5,"Rx","Ok","-2.3902 ms"," ---","[hex]00"
6,"Rx","Ok","-2.3685 ms"," ---","[hex]0A"
7,"Rx","Ok","-2.3392 ms"," ---","[hex]00"
8,"Rx","Ok","-2.3175 ms"," ---","[hex]09"
9,"Rx","Ok","-2.2885 ms"," ---","[hex]00"
10,"Rx","Ok","-2.2668 ms"," ---","[hex]0A"
11,"Rx","Ok","-2.2379 ms"," ---","[hex]00"
12,"Rx","Ok","-2.2162 ms"," ---","[hex]08"
13,"Rx","Ok","-2.1875 ms"," ---","[hex]FF"
14,"Rx","Ok","-2.1658 ms"," ---","[hex]FF"
15,"Rx","Ok","-2.136 ms"," ---","[hex]00"
16,"Rx","Ok","-2.1143 ms"," ---","[hex]FC"
17,"Rx","Ok","-2.0854 ms"," ---","[hex]01"
18,"Rx","Ok","-2.0637 ms"," ---","[hex]1A"
19,"Rx","Ok","-2.0347 ms"," ---","[hex]01"
20,"Rx","Ok","-2.013 ms"," ---","[hex]32"
21,"Rx","Ok","-1.9838 ms"," ---","[hex]01"
22,"Rx","Ok","-1.9621 ms"," ---","[hex]40"
23,"Rx","Ok","-1.9326 ms"," ---","[hex]01"
24,"Rx","Ok","-1.9109 ms"," ---","[hex]84"
25,"Rx","Ok","-1.8821 ms"," ---","[hex]01"
26,"Rx","Ok","-1.8604 ms"," ---","[hex]8E"
27,"Rx","Ok","-1.8315 ms"," ---","[hex]01"
28,"Rx","Ok","-1.8098 ms"," ---","[hex]AA"
29,"Rx","Ok","-1.7806 ms"," ---","[hex]01"
30,"Rx","Ok","-1.7589 ms"," ---","[hex]B8"
31,"Rx","Ok","-1.7299 ms"," ---","[hex]01"
32,"Rx","Ok","-1.7082 ms"," ---","[hex]CC"
33,"Rx","Ok","-1.6791 ms"," ---","[hex]02"
34,"Rx","Ok","-1.6574 ms"," ---","[hex]17"
35,"Rx","Ok","-1.6282 ms"," ---","[hex]02"
36,"Rx","Ok","-1.6065 ms"," ---","[hex]1E"
37,"Rx","Ok","-1.5776 ms"," ---","[hex]02"
38,"Rx","Ok","-1.5558 ms"," ---","[hex]3A"
39,"Rx","Ok","-1.5265 ms"," ---","[hex]02"
40,"Rx","Ok","-1.5048 ms"," ---","[hex]4A"
41,"Rx","Ok","-1.4755 ms"," ---","[hex]02"
42,"Rx","Ok","-1.4538 ms"," ---","[hex]95"
43,"Rx","Ok","-1.4251 ms"," ---","[hex]02"
44,"Rx","Ok","-1.4034 ms"," ---","[hex]C1"
45,"Rx","Ok","-1.3748 ms"," ---","[hex]FF"
46,"Rx","Ok","-1.3531 ms"," ---","[hex]FF"
47,"Rx","Ok","-1.3235 ms"," ---","[hex]03"
48,"Rx","Ok","-1.3018 ms"," ---","[hex]02"
49,"Rx","Ok","-1.2726 ms"," ---","[hex]02"
50,"Rx","Ok","-1.2509 ms"," ---","[hex]FE"
51,"Rx","Ok","-1.2219 ms"," ---","[hex]03"
52,"Rx","Ok","-1.2001 ms"," ---","[hex]04"
53,"Rx","Ok","-1.1709 ms"," ---","[hex]02"
54,"Rx","Ok","-1.1492 ms"," ---","[hex]FE"
55,"Rx","Ok","-1.1199 ms"," ---","[hex]03"
56,"Rx","Ok","-1.0982 ms"," ---","[hex]02"
57,"Rx","Ok","-1.0695 ms"," ---","[hex]03"
58,"Rx","Ok","-1.0478 ms"," ---","[hex]03"
59,"Rx","Ok","-1.0186 ms"," ---","[hex]03"
60,"Rx","Ok","-996.9 µs"," ---","[hex]01"
61,"Rx","Ok","-967.9 µs"," ---","[hex]03"
62,"Rx","Ok","-946.2 µs"," ---","[hex]01"
63,"Rx","Ok","-917 µs"," ---","[hex]02"
64,"Rx","Ok","-895.3 µs"," ---","[hex]FE"
65,"Rx","Ok","-866.1 µs"," ---","[hex]03"
66,"Rx","Ok","-844.4 µs"," ---","[hex]02"
67,"Rx","Ok","-815.4 µs"," ---","[hex]03"
68,"Rx","Ok","-793.7 µs"," ---","[hex]04"
69,"Rx","Ok","-764.6 µs"," ---","[hex]03"
70,"Rx","Ok","-742.9 µs"," ---","[hex]00"
71,"Rx","Ok","-713.4 µs"," ---","[hex]03"
72,"Rx","Ok","-691.7 µs"," ---","[hex]00"
73,"Rx","Ok","-663.1 µs"," ---","[hex]03"
74,"Rx","Ok","-641.4 µs"," ---","[hex]00"
75,"Rx","Ok","-612.2 µs"," ---","[hex]02"
76,"Rx","Ok","-590.5 µs"," ---","[hex]FE"
77,"Rx","Ok","-562.1 µs"," ---","[hex]FF"
78,"Rx","Ok","-540.4 µs"," ---","[hex]FF"
79,"Rx","Ok","-510.7 µs"," ---","[hex]02"
80,"Rx","Ok","-489 µs"," ---","[hex]FE"
81,"Rx","Ok","-459.8 µs"," ---","[hex]03"
82,"Rx","Ok","-438 µs"," ---","[hex]02"
83,"Rx","Ok","-409 µs"," ---","[hex]02"
84,"Rx","Ok","-387.3 µs"," ---","[hex]FE"
85,"Rx","Ok","-358.1 µs"," ---","[hex]03"
86,"Rx","Ok","-336.4 µs"," ---","[hex]02"
87,"Rx","Ok","-307.3 µs"," ---","[hex]02"
88,"Rx","Ok","-285.5 µs"," ---","[hex]FE"
89,"Rx","Ok","-256.6 µs"," ---","[hex]03"
90,"Rx","Ok","-234.9 µs"," ---","[hex]02"
91,"Rx","Ok","-205.9 µs"," ---","[hex]02"
92,"Rx","Ok","-184.2 µs"," ---","[hex]FE"
93,"Rx","Ok","-155 µs"," ---","[hex]03"
94,"Rx","Ok","-133.3 µs"," ---","[hex]00"
95,"Rx","Ok","-104.3 µs"," ---","[hex]03"
96,"Rx","Ok","-82.5 µs"," ---","[hex]00"
97,"Rx","Ok","-53.3 µs"," ---","[hex]02"
98,"Rx","Ok","-31.6 µs"," ---","[hex]FE"
99,"Rx","Ok","-2.6 µs"," ---","[hex]03"
100,"Rx","Ok","19.1 µs"," ---","[hex]06"
101,"Rx","Ok","48.3 µs"," ---","[hex]03"
102,"Rx","Ok","70 µs"," ---","[hex]00"
103,"Rx","Ok","99.3 µs"," ---","[hex]02"
